state,x,y
Andhra Pradesh, -80, -141
Arunachal Pradesh, 236, 165
Assam, 204, 120
Bihar, 57, 92
Chhattisgarh, -14, 4
Goa, -175, -140
Gujarat, -224, 39
Haryana, -122, 172
Himachal Pradesh, -112, 236
Jharkhand, 52, 45
Karnataka, -148, -147
Kerala, -128, -244
Madhya Pradesh, -90, 34
Maharashtra, -157, -54
Manipur, 230, 81
Meghalaya, 172, 92
Mizoram, 210, 50
Nagaland, 240, 112
Odisha, 37, -21
Punjab, -144, 210
Rajasthan, -188, 124
Sikkim, 114, 138
Tamil Nadu, -83, -237
Telangana, -70, -80
Tripura, 184, 54
Uttarakhand, -71, 194
Uttar Pradesh, -40, 125
West Bengal, 104, 40
New Delhi, -110, 152
Jammu & Kashmir, -156, 271
Ladakh, -113, 293

